Contig Number,Accession,Species,Gene ID,Gene Name,E-value
XP_004870203.1,Q1L6U9,Homo sapiens,Rgp1,Prostate-associated microseminoprotein OS=Homo ,0
XP_004870201.1,Q92546,Homo sapiens,Rgp1,Retrograde Golgi transport protein RGP1 ,0
XP_004870200.1,Q92546,Homo sapiens,Rgp1,Retrograde Golgi transport protein RGP1 ,0
XP_004870199.1,Q92546,Homo sapiens,Rgp1,Retrograde Golgi transport protein RGP1 ,0
XP_004870198.1,Q9HCG7,Homo sapiens,CREB3,Non-lysosomal glucosylceramidase OS=Homo ,3.00E-120
XP_004870196.1,O43889,Homo sapiens,CREB3,Cyclic AMP-responsive element-binding protein ,8.00E-137
XP_004870194.1,P26039,Homo sapiens,TLN1,Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=1,0
XP_004870193.1,P26039,Homo sapiens,TLN1,Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=1,0
XP_004870192.1,P26039,Homo sapiens,TLN1,Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=1,0
XP_004870190.1,A6QLK4,Homo sapiens,TMEM8B,Transmembrane protein 8B OS=Bos taurus ,2.00E-152
XP_004870189.1,A6QLK4,Homo sapiens,TMEM8B,Transmembrane protein 8B OS=Bos taurus ,2.00E-152
XP_004870188.1,A6QLK4,Homo sapiens,TMEM8B,Transmembrane protein 8B OS=Bos taurus ,5.00E-150
XP_004870186.1,A6QLK4,Homo sapiens,TMEM8B,Transmembrane protein 8B OS=Bos taurus ,3.00E-150
XP_004870181.1,Q9BX68,Homo sapiens,Hint2,Histidine triad nucleotide-binding protein ,2.00E-83
XP_004870176.1,Q8NGT2,Homo sapiens,OR13D1,Olfactory receptor 13J1 OS=Homo sapiens ,7.00E-111
XP_004870175.1,Q6UXD1,Homo sapiens,RECK,Histidine-rich carboxyl terminus protein ,0
XP_004870173.1,Q9H4G4,Homo sapiens,Glipr2,Golgi-associated plant pathogenesis-related ,6.00E-104
XP_004921259.1,Q5XI58,Homo sapiens,Ccin,Calicin OS=Rattus norvegicus GN=Ccin PE=2 ,0
XP_004870172.1,O08585,Homo sapiens,Clta,Clathrin light chain A OS=Mus musculus GN=Clta ,3.00E-56
XP_004870170.1,P04973,Homo sapiens,Clta,Clathrin light chain A OS=Bos taurus GN=CLTA ,7.00E-126
XP_004870168.1,P04973,Homo sapiens,Clta,Clathrin light chain A OS=Bos taurus GN=CLTA ,1.00E-128
XP_004870166.1,P04973,Homo sapiens,Clta,Clathrin light chain A OS=Bos taurus GN=CLTA ,1.00E-148
XP_004870165.1,Q9Y223,Homo sapiens,neuC,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine ,4.00E-30
XP_004870162.1,Q9Y223,Homo sapiens,neuC,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine ,4.00E-30
XP_004870161.1,Q9Y223,Homo sapiens,neuC,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine ,3.00E-30
XP_004870159.1,Q9Y223,Homo sapiens,neuC,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine ,3.00E-30
XP_004870140.1,Q3MUY2,Homo sapiens,PIGY,Phosphatidylinositol N-acetylglucosaminyltransferase ,2.00E-36
XP_004870139.1,Q6X9E4,Homo sapiens,DCN,F-box/WD repeat-containing protein 12 OS=Homo ,0
XP_004870134.1,O35103,Homo sapiens,Omd,Osteomodulin OS=Mus musculus GN=Omd PE=2 ,0
XP_004870133.1,Q62000,Homo sapiens,OGN,Mimecan OS=Mus musculus GN=Ogn PE=2 SV=1,4.00E-160
XP_004870119.1,Q9NZB2,Homo sapiens,FAM120A,Constitutive coactivator of PPAR-gamma-like ,0
XP_004870111.1,Q13825,Homo sapiens,Auh,"Methylglutaconyl-CoA hydratase, mitochondrial ",2.00E-180
XP_004870110.1,Q16649,Homo sapiens,NFIL3,Nuclear factor interleukin-3-regulated ,0
XP_004870107.1,Q01974,Homo sapiens,Ror2,Tyrosine-protein kinase transmembrane receptor ,0
XP_004870106.1,Q60HD1,Homo sapiens,SPTLC1,Serine palmitoyltransferase 1 OS=Macaca ,0
XP_004870095.1,O95803,Homo sapiens,Ndst3,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase ,0
XP_004870094.1,Q8N609,Homo sapiens,Tram1l1,Translocating chain-associated membrane ,0
XP_004870093.1,Q9H3R1,Homo sapiens,Ndst4,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase ,0
XP_004870092.1,Q16880,Homo sapiens,Ugt8,2-hydroxyacylsphingosine 1-beta-galactosyltransferase ,0
XP_004870091.1,Q16880,Homo sapiens,Ugt8,2-hydroxyacylsphingosine 1-beta-galactosyltransferase ,0
XP_004870089.1,P98066,Homo sapiens,Tnfaip6,Tumor necrosis factor-inducible gene 6 protein ,8.00E-159
XP_004870087.1,Q5UIP0,Homo sapiens,NEBL,Telomere-associated protein RIF1 OS=Homo ,0
XP_004870085.1,Q9Y689,Homo sapiens,Arl5a,ADP-ribosylation factor-like protein 5A ,1.00E-99
XP_004870084.1,Q9Y689,Homo sapiens,Arl5a,ADP-ribosylation factor-like protein 5A ,6.00E-129
XP_004870082.1,O00305,Homo sapiens,Cacnb4,Voltage-dependent L-type calcium channel ,0
XP_004870079.1,O00305,Homo sapiens,Cacnb4,Voltage-dependent L-type calcium channel ,0
XP_004870076.1,A2APV2,Homo sapiens,CG32138,Formin-like protein 2 OS=Mus musculus GN=Fmnl2 ,4.00E-77
XP_004870073.1,A2APV2,Homo sapiens,CG32138,Formin-like protein 2 OS=Mus musculus GN=Fmnl2 ,7.00E-77
XP_004870072.1,A2APV2,Homo sapiens,CG32138,Formin-like protein 2 OS=Mus musculus GN=Fmnl2 ,8.00E-77
XP_004870071.1,A2APV2,Homo sapiens,CG32138,Formin-like protein 2 OS=Mus musculus GN=Fmnl2 ,7.00E-77
XP_004870070.1,A2APV2,Homo sapiens,CG32138,Formin-like protein 2 OS=Mus musculus GN=Fmnl2 ,6.00E-77
XP_004870067.1,A2APV2,Homo sapiens,CG32138,Formin-like protein 2 OS=Mus musculus GN=Fmnl2 ,6.00E-77
XP_004870065.1,A2APV2,Homo sapiens,CG32138,Formin-like protein 2 OS=Mus musculus GN=Fmnl2 ,9.00E-77
XP_004870059.1,Q9H3L0,Homo sapiens,Mmadhc,Methylmalonic aciduria and homocystinuria ,0
XP_004870058.1,Q9H3L0,Homo sapiens,Mmadhc,Methylmalonic aciduria and homocystinuria ,0
XP_004870056.1,Q8NI32,Homo sapiens,Lypd6b,Ly6/PLAUR domain-containing protein 6B ,4.00E-107
XP_004870055.1,Q8NI32,Homo sapiens,Lypd6b,Ly6/PLAUR domain-containing protein 6B ,4.00E-107
XP_004870054.1,Q8NI32,Homo sapiens,Lypd6b,Ly6/PLAUR domain-containing protein 6B ,4.00E-107
XP_004870053.1,Q8NI32,Homo sapiens,Lypd6b,Ly6/PLAUR domain-containing protein 6B ,9.00E-109
XP_004870052.1,Q8NI32,Homo sapiens,Lypd6b,Ly6/PLAUR domain-containing protein 6B ,5.00E-109
XP_004870051.1,Q8NI32,Homo sapiens,Lypd6b,Ly6/PLAUR domain-containing protein 6B ,5.00E-109
XP_004870037.1,Q3UHK3,Homo sapiens,Ntsr2,Protein GREB1 OS=Mus musculus GN=Greb1 ,3.00E-144
XP_004870024.1,P31350,Homo sapiens,RRM2,Ribonucleoside-diphosphate reductase subunit ,0
XP_004870020.1,P09057,Homo sapiens,ODC1,Ornithine decarboxylase OS=Rattus norvegicus ,0
XP_004869998.1,Q08DY6,Homo sapiens,E2F6,Transcription factor E2F6 OS=Bos taurus ,1.00E-162
XP_004869997.1,Q08DY6,Homo sapiens,E2F6,Transcription factor E2F6 OS=Bos taurus ,1.00E-162
XP_004869990.1,Q9D650,Homo sapiens,DDX1,Protein FAM84A OS=Mus musculus GN=Fam84a ,0
XP_004869986.1,Q5R6L2,Homo sapiens,fam49,Protein FAM49A OS=Pongo abelii GN=FAM49A ,1.00E-75
XP_004869985.1,Q15973,Homo sapiens,ZNF136,Zinc finger protein 124 OS=Homo sapiens ,2.00E-25
XP_004869984.1,Q15973,Homo sapiens,ZNF136,Zinc finger protein 124 OS=Homo sapiens ,2.00E-25
XP_004869983.1,Q8N972,Homo sapiens,ZNF14,Zinc finger protein 709 OS=Homo sapiens ,2.00E-148
XP_004869981.1,Q8NGG4,Homo sapiens,OR8H3,Olfactory receptor 8H1 OS=Homo sapiens ,3.00E-145
XP_004869980.1,Q8N162,Homo sapiens,OR8H3,Olfactory receptor 8H2 OS=Homo sapiens ,2.00E-84
XP_004869978.1,Q8N0Y5,Homo sapiens,OR8H3,Olfactory receptor 8I2 OS=Homo sapiens ,3.00E-116
XP_004869976.1,Q8VGR8,Homo sapiens,OR5J2,Olfactory receptor 1052 OS=Mus musculus ,2.00E-111
XP_004869974.1,Q8NH19,Homo sapiens,OR10A7,Olfactory receptor 10AG1 OS=Homo sapiens ,3.00E-103
XP_004869973.1,Q8NH19,Homo sapiens,OR10A7,Olfactory receptor 10AG1 OS=Homo sapiens ,3.00E-96
XP_004869972.1,Q8NH19,Homo sapiens,OR10A7,Olfactory receptor 10AG1 OS=Homo sapiens ,6.00E-101
XP_004869971.1,Q8NH19,Homo sapiens,OR10C1,Olfactory receptor 10AG1 OS=Homo sapiens ,2.00E-101
XP_004869966.1,Q8NH19,Homo sapiens,OR10A5,Olfactory receptor 10AG1 OS=Homo sapiens ,5.00E-68
XP_004869965.1,Q8NH19,Homo sapiens,OR10C1,Olfactory receptor 10AG1 OS=Homo sapiens ,3.00E-102
XP_004869964.1,Q8N162,Homo sapiens,OR8H3,Olfactory receptor 8H2 OS=Homo sapiens ,5.00E-114
XP_004869963.1,Q8NH83,Homo sapiens,OR4A16,Olfactory receptor 4A5 OS=Homo sapiens ,4.00E-154
XP_004869962.1,Q8NGG4,Homo sapiens,OR8H3,Olfactory receptor 8H1 OS=Homo sapiens ,2.00E-108
XP_004869961.1,Q8NH19,Homo sapiens,OR10C1,Olfactory receptor 10AG1 OS=Homo sapiens ,6.00E-101
XP_004869960.1,Q8NH19,Homo sapiens,OR10A7,Olfactory receptor 10AG1 OS=Homo sapiens ,5.00E-105
XP_004869959.1,Q5SXM1,Homo sapiens,ZNF98,Zinc finger protein 678 OS=Homo sapiens ,8.00E-19
XP_004869958.1,Q8NH51,Homo sapiens,OR8K1,Olfactory receptor 8K3 OS=Homo sapiens ,2.00E-117
XP_004869957.1,Q8NH51,Homo sapiens,OR8K1,Olfactory receptor 8K3 OS=Homo sapiens ,8.00E-131
XP_004869956.1,Q8NH51,Homo sapiens,OR8K1,Olfactory receptor 8K3 OS=Homo sapiens ,3.00E-106
XP_004869955.1,Q8VGR8,Homo sapiens,OR5J2,Olfactory receptor 1052 OS=Mus musculus ,1.00E-152
XP_004869954.1,Q8NH50,Homo sapiens,OR8K1,Olfactory receptor 8K5 OS=Homo sapiens ,1.00E-117
XP_004869953.1,Q8NH50,Homo sapiens,OR8K3,Olfactory receptor 8K5 OS=Homo sapiens ,5.00E-122
XP_004869952.1,Q8NH51,Homo sapiens,OR8K1,Olfactory receptor 8K3 OS=Homo sapiens ,6.00E-134
XP_004869951.1,Q8NGG0,Homo sapiens,OR8J2,Olfactory receptor 8J3 OS=Homo sapiens ,4.00E-159
XP_004869950.1,Q8NGG0,Homo sapiens,OR8J2,Olfactory receptor 8J3 OS=Homo sapiens ,6.00E-144
XP_004869949.1,Q8NGG0,Homo sapiens,OR8J2,Olfactory receptor 8J3 OS=Homo sapiens ,2.00E-150
XP_004869948.1,Q8NGG0,Homo sapiens,OR8J1,Olfactory receptor 8J3 OS=Homo sapiens ,4.00E-151
XP_004869947.1,Q8VGR9,Homo sapiens,OR8U9,Olfactory receptor 1044 OS=Mus musculus ,0
XP_004869945.1,Q8NGP3,Homo sapiens,OR5M3,Olfactory receptor 5M9 OS=Homo sapiens ,2.00E-52
XP_004869944.1,Q8NGP6,Homo sapiens,OR5M3,Olfactory receptor 5M8 OS=Homo sapiens ,1.00E-154
XP_004869943.1,Q8VFL5,Homo sapiens,OR5M8,Olfactory receptor 1030 OS=Mus musculus ,6.00E-140
XP_004869941.1,Q8VFL5,Homo sapiens,OR5M10,Olfactory receptor 1030 OS=Mus musculus ,4.00E-139
XP_004869940.1,Q8VFL5,Homo sapiens,OR5M10,Olfactory receptor 1030 OS=Mus musculus ,3.00E-130
XP_004869939.1,Q8VFL5,Homo sapiens,OR5M10,Olfactory receptor 1030 OS=Mus musculus ,1.00E-130
XP_004869938.1,Q6IEU7,Homo sapiens,OR5M1,Olfactory receptor 5M10 OS=Homo sapiens ,4.00E-167
XP_004869937.1,Q8NGE5,Homo sapiens,OR2B6,Olfactory receptor 10A7 OS=Homo sapiens ,3.00E-97
XP_004869935.1,Q8NH87,Homo sapiens,OR9G9,Olfactory receptor 9G1 OS=Homo sapiens ,1.00E-168
XP_004869933.1,Q8NGQ1,Homo sapiens,OR9G1,Olfactory receptor 9G4 OS=Homo sapiens ,1.00E-63
XP_004869931.1,P0C7N8,Homo sapiens,OR9G1,Olfactory receptor 9G9 OS=Homo sapiens ,4.00E-161
XP_004869930.1,P0C7N8,Homo sapiens,OR9G1,Olfactory receptor 9G9 OS=Homo sapiens ,2.00E-139
XP_004869929.1,Q8NH89,Homo sapiens,OR5AK2,Putative olfactory receptor 5AK3 OS=Homo ,2.00E-163
XP_004869919.1,Q8JZP3,Homo sapiens,kel,Kelch-like protein 2 OS=Mus musculus GN=Klhl2 ,4.00E-11
XP_004869917.1,Q8NGQ5,Homo sapiens,OR9Q2,Olfactory receptor 9Q1 OS=Homo sapiens ,5.00E-51
XP_004869916.1,Q8NGE9,Homo sapiens,OR9Q1,Olfactory receptor 9Q2 OS=Homo sapiens ,1.00E-155
XP_004869915.1,Q8NH92,Homo sapiens,OR1S2,Olfactory receptor 1S1 OS=Homo sapiens ,7.00E-176
XP_004869914.1,Q8NGQ4,Homo sapiens,OR10V1,Olfactory receptor 10Q1 OS=Homo sapiens ,1.00E-44
XP_004869913.1,Q96R08,Homo sapiens,OR5B2,Olfactory receptor 5B12 OS=Homo sapiens ,2.00E-132
XP_004869912.1,Q96R09,Homo sapiens,OR5B3,Olfactory receptor 5B2 OS=Homo sapiens ,2.00E-135
XP_004869911.1,Q8NH48,Homo sapiens,OR5B17,Olfactory receptor 5B3 OS=Homo sapiens ,5.00E-151
XP_004869910.1,Q8NGF7,Homo sapiens,OR5B3,Olfactory receptor 5B17 OS=Homo sapiens ,5.00E-132
XP_004869909.1,Q96R09,Homo sapiens,OR5B3,Olfactory receptor 5B2 OS=Homo sapiens ,1.00E-160
XP_004869908.1,Q8NH48,Homo sapiens,OR5B2,Olfactory receptor 5B3 OS=Homo sapiens ,4.00E-152
XP_004869907.1,Q8NH48,Homo sapiens,OR5B2,Olfactory receptor 5B3 OS=Homo sapiens ,3.00E-154
XP_004869906.1,Q8NH48,Homo sapiens,OR5B2,Olfactory receptor 5B3 OS=Homo sapiens ,2.00E-142
XP_004869905.1,Q8NH48,Homo sapiens,OR5B2,Olfactory receptor 5B3 OS=Homo sapiens ,1.00E-151
XP_004869904.1,Q96R09,Homo sapiens,OR5B3,Olfactory receptor 5B2 OS=Homo sapiens ,3.00E-137
XP_004869903.1,Q8NH48,Homo sapiens,OR5B2,Olfactory receptor 5B3 OS=Homo sapiens ,3.00E-142
XP_004869902.1,Q8NH48,Homo sapiens,OR5B2,Olfactory receptor 5B3 OS=Homo sapiens ,3.00E-95
XP_004869901.1,Q8NH48,Homo sapiens,OR5B2,Olfactory receptor 5B3 OS=Homo sapiens ,6.00E-137
XP_004869900.1,Q96R09,Homo sapiens,OR5B3,Olfactory receptor 5B2 OS=Homo sapiens ,7.00E-127
XP_004869899.1,Q8NH48,Homo sapiens,OR5B2,Olfactory receptor 5B3 OS=Homo sapiens ,3.00E-139
XP_004869898.1,Q8NH48,Homo sapiens,OR5B2,Olfactory receptor 5B3 OS=Homo sapiens ,2.00E-143
XP_004869897.1,Q96R09,Homo sapiens,OR5B3,Olfactory receptor 5B2 OS=Homo sapiens ,2.00E-165
XP_004869896.1,Q8NH48,Homo sapiens,OR5B2,Olfactory receptor 5B3 OS=Homo sapiens ,9.00E-158
XP_004869895.1,Q96R09,Homo sapiens,OR5B3,Olfactory receptor 5B2 OS=Homo sapiens ,5.00E-141
XP_004869894.1,Q96R09,Homo sapiens,OR5B3,Olfactory receptor 5B2 OS=Homo sapiens ,1.00E-145
XP_004869893.1,Q8NH48,Homo sapiens,OR5B2,Olfactory receptor 5B3 OS=Homo sapiens ,5.00E-129
XP_004869892.1,Q8NH48,Homo sapiens,OR5B2,Olfactory receptor 5B3 OS=Homo sapiens ,8.00E-139
XP_004869891.1,Q8NH48,Homo sapiens,OR5B2,Olfactory receptor 5B3 OS=Homo sapiens ,1.00E-122
XP_004869890.1,Q96R09,Homo sapiens,OR5B3,Olfactory receptor 5B2 OS=Homo sapiens ,9.00E-146
XP_004869889.1,Q96R09,Homo sapiens,OR5B3,Olfactory receptor 5B2 OS=Homo sapiens ,1.00E-136
XP_004869888.1,Q96R09,Homo sapiens,OR5B3,Olfactory receptor 5B2 OS=Homo sapiens ,6.00E-162
XP_004869887.1,Q96R09,Homo sapiens,OR5B3,Olfactory receptor 5B2 OS=Homo sapiens ,5.00E-151
XP_004869886.1,Q8NH48,Homo sapiens,OR5B2,Olfactory receptor 5B3 OS=Homo sapiens ,4.00E-163
XP_004869885.1,Q8NGI8,Homo sapiens,OR5A1,Olfactory receptor 5AN1 OS=Homo sapiens ,5.00E-123
XP_004869884.1,Q8NGJ0,Homo sapiens,OR5AN1,Olfactory receptor 5A1 OS=Homo sapiens ,5.00E-97
XP_004869883.1,Q8NGE8,Homo sapiens,OR4D10,Olfactory receptor 4D9 OS=Homo sapiens ,4.00E-74
XP_004869882.1,Q8NGE8,Homo sapiens,OR4D11,Olfactory receptor 4D9 OS=Homo sapiens ,3.00E-165
XP_004869881.1,Q8NGI6,Homo sapiens,OR4D9,Olfactory receptor 4D10 OS=Homo sapiens ,3.00E-146
XP_004869878.1,Q86WS3,Homo sapiens,PLAC1,Placenta-specific 1-like protein OS=Homo ,1.00E-13
XP_004869877.1,Q96JQ5,Homo sapiens,Ms4a4d,Membrane-spanning 4-domains subfamily A ,1.00E-17
XP_004869876.1,Q96JQ5,Homo sapiens,Ms4a4d,Membrane-spanning 4-domains subfamily A ,1.00E-15
XP_004869875.1,Q8NGL4,Homo sapiens,OR5D14,Olfactory receptor 5D13 OS=Homo sapiens ,2.00E-112
XP_004869873.1,Q8NH19,Homo sapiens,OR10A5,Olfactory receptor 10AG1 OS=Homo sapiens ,6.00E-110
XP_004869869.1,Q8VFL9,Homo sapiens,OR5T2,Olfactory receptor 1086 OS=Mus musculus ,3.00E-128
XP_004869868.1,Q8VES2,Homo sapiens,OR5T1,Olfactory receptor 1102 OS=Mus musculus ,2.00E-171
XP_004869867.1,Q8NH51,Homo sapiens,OR8K5,Olfactory receptor 8K3 OS=Homo sapiens ,3.00E-126
XP_004869866.1,Q8NGG1,Homo sapiens,OR8J3,Olfactory receptor 8J2 OS=Homo sapiens ,4.00E-166
XP_004869863.1,Q8NGL1,Homo sapiens,OR5D16,Olfactory receptor 5D18 OS=Homo sapiens ,7.00E-138
XP_004869862.1,Q8NGL6,Homo sapiens,OR4A5,Olfactory receptor 4A15 OS=Homo sapiens ,9.00E-155
XP_004869860.1,Q8NH51,Homo sapiens,OR8K1,Olfactory receptor 8K3 OS=Homo sapiens ,8.00E-131
XP_004869859.1,Q8NH51,Homo sapiens,OR8K1,Olfactory receptor 8K3 OS=Homo sapiens ,1.00E-115
XP_004869858.1,Q8NH50,Homo sapiens,OR8K3,Olfactory receptor 8K5 OS=Homo sapiens ,6.00E-103
XP_004869857.1,Q8NH50,Homo sapiens,OR8K3,Olfactory receptor 8K5 OS=Homo sapiens ,2.00E-96
XP_004869853.1,Q8VGS1,Homo sapiens,OR5R1,Olfactory receptor 1038 OS=Mus musculus ,0
XP_004869852.1,Q8VGS1,Homo sapiens,OR5R1,Olfactory receptor 1038 OS=Mus musculus ,4.00E-139
XP_004869851.1,Q6IEU7,Homo sapiens,OR5M1,Olfactory receptor 5M10 OS=Homo sapiens ,4.00E-171
XP_004869850.1,Q8VGS3,Homo sapiens,OR5AR1,Olfactory receptor 1019 OS=Mus musculus ,0
XP_004869846.1,O97666,Homo sapiens,AGTR1,Apelin receptor OS=Macaca mulatta GN=APLNR ,3.00E-39
XP_004869838.1,O75387,Homo sapiens,Slc43a1,Large neutral amino acids transporter small ,0
XP_004869835.1,O14933,Homo sapiens,Ube2l6,Ubiquitin/ISG15-conjugating enzyme E2 L6 ,7.00E-66
XP_004869834.1,O14933,Homo sapiens,Ube2l6,Ubiquitin/ISG15-conjugating enzyme E2 L6 ,7.00E-66
XP_004869833.1,O14933,Homo sapiens,Ube2l6,Ubiquitin/ISG15-conjugating enzyme E2 L6 ,7.00E-66
XP_004869831.1,Q6P734,Homo sapiens,SERPING1,Plasma protease C1 inhibitor OS=Rattus norvegicus ,0
XP_004869818.1,Q4R5Y4,Homo sapiens,TMX2,Selenoprotein H OS=Macaca fascicularis GN=SELH ,0
XP_004869805.1,Q8NGQ6,Homo sapiens,OR9Q2,Olfactory receptor 9I1 OS=Homo sapiens ,1.00E-130
XP_004869804.1,Q8NGQ6,Homo sapiens,OR9Q2,Olfactory receptor 9I1 OS=Homo sapiens ,2.00E-111
XP_004869803.1,Q8NGQ6,Homo sapiens,OR9Q2,Olfactory receptor 9I1 OS=Homo sapiens ,2.00E-130
XP_004869802.1,Q9P0U1,Homo sapiens,TOMM7,Mitochondrial import receptor subunit TOM7 ,2.00E-20
XP_004869801.1,Q96R08,Homo sapiens,OR5B2,Olfactory receptor 5B12 OS=Homo sapiens ,4.00E-147
XP_004869800.1,Q96R08,Homo sapiens,OR5B2,Olfactory receptor 5B12 OS=Homo sapiens ,2.00E-152
XP_004869796.1,O02732,Homo sapiens,CNTF,Ciliary neurotrophic factor OS=Sus scrofa ,2.00E-110
XP_004869782.1,Q5RBP9,Homo sapiens,OR5A1,Macrophage-expressed gene 1 protein OS=Pongo ,2.00E-172
XP_004869780.1,Q8NGE8,Homo sapiens,OR4D11,Olfactory receptor 4D9 OS=Homo sapiens ,4.00E-163
XP_004869778.1,Q8NGI7,Homo sapiens,OR10Q1,Olfactory receptor 10V1 OS=Homo sapiens ,2.00E-105
XP_004869770.1,P52787,Homo sapiens,Gif,Gastric intrinsic factor OS=Mus musculus GN=Gif ,0
XP_004869763.1,Q96JQ5,Homo sapiens,MS4A6A,Membrane-spanning 4-domains subfamily A ,4.00E-53
XP_004869761.1,Q9H2W1,Homo sapiens,Ms4a6d,Membrane-spanning 4-domains subfamily A ,5.00E-57
XP_004869760.1,Q9H2W1,Homo sapiens,Ms4a6d,Membrane-spanning 4-domains subfamily A ,2.00E-76
XP_004869759.1,Q96JQ5,Homo sapiens,MS4A4E,Membrane-spanning 4-domains subfamily A ,2.00E-21
XP_004869758.1,Q96JQ5,Homo sapiens,Ms4a4d,Membrane-spanning 4-domains subfamily A ,3.00E-36
XP_004869755.1,Q8WXI8,Homo sapiens,Clec4d,C-type lectin domain family 4 member D ,1.00E-19
XP_004869754.1,Q9BQ13,Homo sapiens,kctd7,BTB/POZ domain-containing protein KCTD14 ,1.00E-29
XP_004869746.1,Q96I59,Homo sapiens,Nars2,"Probable asparaginyl-tRNA synthetase, mitochondrial ",0
XP_004869745.1,Q96I59,Homo sapiens,Nars2,"Probable asparaginyl-tRNA synthetase, mitochondrial ",0
XP_004869744.1,Q96I59,Homo sapiens,Nars2,"Probable asparaginyl-tRNA synthetase, mitochondrial ",0
XP_004869741.1,Q9P2H5,Homo sapiens,USP38,Ubiquitin carboxyl-terminal hydrolase 35 ,0
XP_004869739.1,Q4G0X4,Homo sapiens,Kctd21,BTB/POZ domain-containing protein KCTD21 ,0
XP_004869738.1,Q4G0X4,Homo sapiens,Kctd21,BTB/POZ domain-containing protein KCTD21 ,0
XP_004869736.1,Q9BVK2,Homo sapiens,ALG8,Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 ,3.00E-76
XP_004869734.1,Q9BVK2,Homo sapiens,CG4542,Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 ,3.00E-130
XP_004869729.1,Q8R0P4,Homo sapiens,C11orf67,UPF0366 protein C11orf67 homolog OS=Mus ,2.00E-48
XP_004869728.1,Q8R0P4,Homo sapiens,C11orf67,UPF0366 protein C11orf67 homolog OS=Mus ,1.00E-76
XP_004869727.1,Q8R0P4,Homo sapiens,C11orf67,UPF0366 protein C11orf67 homolog OS=Mus ,1.00E-76
XP_004869713.1,Q6ZMB0,Homo sapiens,B3gnt6,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase ",1.00E-163
XP_004869709.1,O76100,Homo sapiens,OR7A17,Olfactory receptor 7A10 OS=Homo sapiens ,8.00E-158
XP_004869708.1,Q5VWM3,Homo sapiens,PRAMEF22,PRAME family member 18 OS=Homo sapiens ,3.00E-29
XP_004869707.1,O95522,Homo sapiens,PRAMEF24,PRAME family member 12 OS=Homo sapiens ,2.00E-79
XP_004869706.1,Q5VT98,Homo sapiens,PRAMEF22,PRAME family member 20/21 OS=Homo sapiens ,7.00E-35
XP_004869705.1,A6NGN4,Homo sapiens,PRAMEF13,Putative PRAME family member 25 OS=Homo ,2.00E-64
XP_004869695.1,Q9UPU5,Homo sapiens,Usp24,Ubiquitin carboxyl-terminal hydrolase 24 ,0
XP_004869686.1,P54646,Homo sapiens,PRKAA2,5'-AMP-activated protein kinase catalytic ,0
XP_004869677.1,Q9BGX5,Homo sapiens,Dab,Disabled homolog 1 OS=Macaca fascicularis ,3.00E-38
XP_004869673.1,Q96E52,Homo sapiens,OMA1,"Metalloendopeptidase OMA1, mitochondrial ",0
XP_004869672.1,Q96E52,Homo sapiens,OMA1,"Metalloendopeptidase OMA1, mitochondrial ",0
XP_004869671.1,Q96E52,Homo sapiens,OMA1,"Metalloendopeptidase OMA1, mitochondrial ",0
XP_004869670.1,Q96E52,Homo sapiens,OMA1,"Metalloendopeptidase OMA1, mitochondrial ",0
XP_004869669.1,Q96E52,Homo sapiens,OMA1,"Metalloendopeptidase OMA1, mitochondrial ",0
XP_004869668.1,Q96E52,Homo sapiens,OMA1,"Metalloendopeptidase OMA1, mitochondrial ",0
XP_004869667.1,P09758,Homo sapiens,Tacstd2,Tumor-associated calcium signal transducer ,5.00E-132
XP_004869663.1,Q96C11,Homo sapiens,Fggy,FGGY carbohydrate kinase domain-containing ,0
XP_004869662.1,Q96C11,Homo sapiens,Fggy,FGGY carbohydrate kinase domain-containing ,0
XP_004869661.1,Q96C11,Homo sapiens,Fggy,FGGY carbohydrate kinase domain-containing ,0
XP_004869660.1,Q96C11,Homo sapiens,Fggy,FGGY carbohydrate kinase domain-containing ,0
XP_004869656.1,Q8N972,Homo sapiens,ZNF700,Zinc finger protein 709 OS=Homo sapiens ,0
XP_004869652.1,Q96PZ7,Homo sapiens,Csmd1,CUB and sushi domain-containing protein ,0
XP_004921257.1,Q5GH66,Homo sapiens,XKR5,XK-related protein 5 OS=Mus musculus GN=Xkr5 ,5.00E-141
XP_004869647.1,Q9NUQ2,Homo sapiens,Agpat5,1-acyl-sn-glycerol-3-phosphate acyltransferase ,0
XP_004869643.1,Q9BDY7,Homo sapiens,ANGPT1,Angiopoietin-2 OS=Sus scrofa GN=ANGPT2 PE=2 ,4.00E-168
XP_004869642.1,Q9BDY7,Homo sapiens,ANGPT1,Angiopoietin-2 OS=Sus scrofa GN=ANGPT2 PE=2 ,0
